order_id,order_date,customer_id,customer_name,customer_segment,country,city,product_id,category,product_name,quantity,unit_price,discount,payment_method,shipping_mode,order_status,rating,total_amount,profit,marketing_channel
ORD0000000019,2023-01-01 05:23:00,CUST100703,Noah Mansour,Corporate,Tunisia,Tunis,PROD00589,Books,Business Analytics,5,24.42,0.10,Credit Card,Express,Returned,2,109.89,26.37,Marketplace
ORD0000000020,2023-01-01 05:40:00,CUST100740,Maya Mensah,Consumer,Morocco,Casablanca,PROD00620,Fashion,Cotton Shirt,9,25.39,0.00,Credit Card,Standard,Processing,1,228.51,45.70,Referral
ORD0000000021,2023-01-01 05:57:00,CUST100777,Adam Ndiaye,Small Business,Ghana,Accra,PROD00651,Health,Water Bottle,4,26.36,0.15,Credit Card,Pickup Point,Shipped,5,89.62,14.34,Email
ORD0000000022,2023-01-01 06:14:00,CUST100814,Sara Toure,Home Office,Egypt,Cairo,PROD00682,Furniture,Bookcase,8,27.33,0.05,Credit Card,Same Day,Delivered,4,207.71,24.93,Social Media
ORD0000000023,2023-01-01 06:31:00,CUST100851,Youssef Okafor,Corporate,Tunisia,Tunis,PROD00713,Office Supplies,Desk Organizer,3,28.30,0.20,Credit Card,Express,Delivered,3,67.92,5.43,Paid Search
ORD0000000024,2023-01-01 06:48:00,CUST100888,Nora Traore,Consumer,Morocco,Casablanca,PROD00744,Electronics,Bluetooth Speaker,7,29.27,0.10,Credit Card,Standard,Delivered,2,184.40,49.79,Organic Search
ORD0000000025,2023-01-01 07:05:00,CUST100925,Karim Ali,Small Business,Ghana,Accra,PROD00775,Sports,Training Gloves,2,30.24,0.00,Credit Card,Pickup Point,Returned,1,60.48,13.91,Marketplace
ORD0000000026,2023-01-01 07:22:00,CUST100962,Hana Hassan,Home Office,Egypt,Cairo,PROD00806,Groceries,Rice Bag,6,31.21,0.15,Credit Card,Same Day,Processing,5,159.17,30.24,Referral
ORD0000000027,2023-01-01 07:39:00,CUST100999,Elias Abdi,Corporate,Tunisia,Tunis,PROD00837,Books,Business Analytics,1,32.18,0.05,Credit Card,Express,Shipped,4,30.57,4.59,Email
ORD0000000028,2023-01-01 07:56:00,CUST101036,Leila Bennani,Consumer,Morocco,Casablanca,PROD00868,Fashion,Cotton Shirt,5,33.15,0.20,Credit Card,Standard,Delivered,3,132.60,14.59,Social Media
ORD0000000029,2023-01-01 08:13:00,CUST101073,Ilyas Kone,Small Business,Ghana,Accra,PROD00899,Health,Water Bottle,9,34.12,0.10,Credit Card,Pickup Point,Delivered,2,276.37,82.91,Paid Search
ORD0000000030,2023-01-01 08:30:00,CUST101110,Mariam Khalil,Home Office,Egypt,Cairo,PROD00930,Furniture,Bookcase,4,35.09,0.00,Credit Card,Same Day,Delivered,1,140.36,36.49,Organic Search
ORD0000000031,2023-01-01 08:47:00,CUST101147,Rayan Diallo,Corporate,Tunisia,Tunis,PROD00961,Office Supplies,Desk Organizer,8,36.06,0.15,Credit Card,Express,Returned,5,245.21,53.95,Marketplace
ORD0000000032,2023-01-01 09:04:00,CUST101184,Amina Adeyemi,Consumer,Morocco,Casablanca,PROD00992,Electronics,Bluetooth Speaker,3,37.03,0.05,Credit Card,Standard,Processing,4,105.54,19.00,Referral
ORD0000000033,2023-01-01 09:21:00,CUST101221,Omar Mansour,Small Business,Ghana,Accra,PROD01023,Sports,Training Gloves,7,38.00,0.20,Credit Card,Pickup Point,Shipped,3,212.80,29.79,Email
ORD0000000034,2023-01-01 09:38:00,CUST101258,Lina Mensah,Home Office,Egypt,Cairo,PROD01054,Groceries,Rice Bag,2,38.97,0.10,Credit Card,Same Day,Delivered,2,70.15,7.02,Social Media
ORD0000000035,2023-01-01 09:55:00,CUST101295,Noah Ndiaye,Corporate,Tunisia,Tunis,PROD01085,Books,Business Analytics,6,39.94,0.00,Credit Card,Express,Delivered,1,239.64,69.50,Paid Search
ORD0000000036,2023-01-01 10:12:00,CUST101332,Maya Toure,Consumer,Morocco,Casablanca,PROD01116,Fashion,Cotton Shirt,1,40.91,0.15,Credit Card,Standard,Delivered,5,34.77,8.69,Organic Search
ORD0000000037,2023-01-01 10:29:00,CUST101369,Adam Okafor,Small Business,Ghana,Accra,PROD01147,Health,Water Bottle,5,41.88,0.05,Credit Card,Pickup Point,Returned,4,198.93,41.78,Marketplace
ORD0000000038,2023-01-01 10:46:00,CUST101406,Sara Traore,Home Office,Egypt,Cairo,PROD01178,Furniture,Bookcase,9,42.85,0.20,Credit Card,Same Day,Processing,3,308.52,52.45,Referral
ORD0000000039,2023-01-01 11:03:00,CUST101443,Youssef Ali,Corporate,Tunisia,Tunis,PROD01209,Office Supplies,Desk Organizer,4,43.82,0.10,Credit Card,Express,Shipped,2,157.75,20.51,Email
ORD0000000040,2023-01-01 11:20:00,CUST101480,Nora Hassan,Consumer,Morocco,Casablanca,PROD01240,Electronics,Bluetooth Speaker,8,44.79,0.00,Credit Card,Standard,Delivered,1,358.32,32.25,Social Media
ORD0000000041,2023-01-01 11:37:00,CUST101517,Karim Abdi,Small Business,Ghana,Accra,PROD01271,Sports,Training Gloves,3,45.76,0.15,Credit Card,Pickup Point,Delivered,5,116.69,32.67,Paid Search
ORD0000000042,2023-01-01 11:54:00,CUST101554,Hana Bennani,Home Office,Egypt,Cairo,PROD01302,Groceries,Rice Bag,7,46.73,0.05,Credit Card,Same Day,Delivered,4,310.75,74.58,Organic Search
ORD0000000043,2023-01-01 12:11:00,CUST101591,Elias Kone,Corporate,Tunisia,Tunis,PROD01333,Books,Business Analytics,2,47.70,0.20,Credit Card,Express,Returned,3,76.32,15.26,Marketplace
ORD0000000044,2023-01-01 12:28:00,CUST101628,Leila Khalil,Consumer,Morocco,Casablanca,PROD01364,Fashion,Cotton Shirt,6,48.67,0.10,Credit Card,Standard,Processing,2,262.82,42.05,Referral
ORD0000000045,2023-01-01 12:45:00,CUST101665,Ilyas Diallo,Small Business,Ghana,Accra,PROD01395,Health,Water Bottle,1,49.64,0.00,Credit Card,Pickup Point,Shipped,1,49.64,5.96,Email
ORD0000000046,2023-01-01 13:02:00,CUST101702,Mariam Adeyemi,Home Office,Egypt,Cairo,PROD01426,Furniture,Bookcase,5,50.61,0.15,Credit Card,Same Day,Delivered,5,215.09,17.21,Social Media
ORD0000000047,2023-01-01 13:19:00,CUST101739,Rayan Mansour,Corporate,Tunisia,Tunis,PROD01457,Office Supplies,Desk Organizer,9,51.58,0.05,Credit Card,Express,Delivered,4,441.01,119.07,Paid Search
ORD0000000048,2023-01-01 13:36:00,CUST101776,Amina Mensah,Consumer,Morocco,Casablanca,PROD01488,Electronics,Bluetooth Speaker,4,52.55,0.20,Credit Card,Standard,Delivered,3,168.16,38.68,Organic Search
ORD0000000049,2023-01-01 13:53:00,CUST101813,Omar Ndiaye,Small Business,Ghana,Accra,PROD01519,Sports,Training Gloves,8,53.52,0.10,Credit Card,Pickup Point,Returned,2,385.34,73.21,Marketplace
ORD0000000050,2023-01-01 14:10:00,CUST101850,Lina Toure,Home Office,Egypt,Cairo,PROD01550,Groceries,Rice Bag,3,54.49,0.00,Credit Card,Same Day,Processing,1,163.47,24.52,Referral
ORD0000000051,2023-01-01 14:27:00,CUST101887,Noah Okafor,Corporate,Tunisia,Tunis,PROD01581,Books,Business Analytics,7,55.46,0.15,Credit Card,Express,Shipped,5,329.99,36.30,Email
ORD0000000052,2023-01-01 14:44:00,CUST101924,Maya Traore,Consumer,Morocco,Casablanca,PROD01612,Fashion,Cotton Shirt,2,56.43,0.05,Credit Card,Standard,Delivered,4,107.22,32.17,Social Media
ORD0000000053,2023-01-01 15:01:00,CUST101961,Adam Ali,Small Business,Ghana,Accra,PROD01643,Health,Water Bottle,6,57.40,0.20,Credit Card,Pickup Point,Delivered,3,275.52,71.64,Paid Search
ORD0000000054,2023-01-01 15:18:00,CUST101998,Sara Hassan,Home Office,Egypt,Cairo,PROD01674,Furniture,Bookcase,1,58.37,0.10,Credit Card,Same Day,Delivered,2,52.53,11.56,Organic Search
ORD0000000055,2023-01-01 15:35:00,CUST102035,Youssef Abdi,Corporate,Tunisia,Tunis,PROD01705,Office Supplies,Desk Organizer,5,59.34,0.00,Credit Card,Express,Returned,1,296.70,53.41,Marketplace
ORD0000000056,2023-01-01 15:52:00,CUST102072,Nora Bennani,Consumer,Morocco,Casablanca,PROD01736,Electronics,Bluetooth Speaker,9,60.31,0.15,Credit Card,Standard,Processing,5,461.37,64.59,Referral
ORD0000000057,2023-01-01 16:09:00,CUST102109,Karim Kone,Small Business,Ghana,Accra,PROD01767,Sports,Training Gloves,4,61.28,0.05,Credit Card,Pickup Point,Shipped,4,232.86,23.29,Email
ORD0000000058,2023-01-01 16:26:00,CUST102146,Hana Khalil,Home Office,Egypt,Cairo,PROD01798,Groceries,Rice Bag,8,62.25,0.20,Credit Card,Same Day,Delivered,3,398.40,115.54,Social Media
ORD0000000059,2023-01-01 16:43:00,CUST102183,Elias Diallo,Corporate,Tunisia,Tunis,PROD01829,Books,Business Analytics,3,63.22,0.10,Credit Card,Express,Delivered,2,170.69,42.67,Paid Search
ORD0000000060,2023-01-01 17:00:00,CUST102220,Leila Adeyemi,Consumer,Morocco,Casablanca,PROD01860,Fashion,Cotton Shirt,7,64.19,0.00,Credit Card,Standard,Delivered,1,449.33,94.36,Organic Search
ORD0000000061,2023-01-01 17:17:00,CUST102257,Ilyas Mansour,Small Business,Ghana,Accra,PROD01891,Health,Water Bottle,2,65.16,0.15,Credit Card,Pickup Point,Returned,5,110.77,18.83,Marketplace
ORD0000000062,2023-01-01 17:34:00,CUST102294,Mariam Mensah,Home Office,Egypt,Cairo,PROD01922,Furniture,Bookcase,6,66.13,0.05,Credit Card,Same Day,Processing,4,376.94,49.00,Referral
ORD0000000063,2023-01-01 17:51:00,CUST102331,Rayan Ndiaye,Corporate,Tunisia,Tunis,PROD01953,Office Supplies,Desk Organizer,1,67.10,0.20,Credit Card,Express,Shipped,3,53.68,4.83,Email
ORD0000000064,2023-01-01 18:08:00,CUST102368,Amina Toure,Consumer,Morocco,Casablanca,PROD01984,Electronics,Bluetooth Speaker,5,68.07,0.10,Credit Card,Standard,Delivered,2,306.31,85.77,Social Media
ORD0000000065,2023-01-01 18:25:00,CUST102405,Omar Okafor,Small Business,Ghana,Accra,PROD02015,Sports,Training Gloves,9,69.04,0.00,Credit Card,Pickup Point,Delivered,1,621.36,149.13,Paid Search
ORD0000000066,2023-01-01 18:42:00,CUST102442,Lina Traore,Home Office,Egypt,Cairo,PROD02046,Groceries,Rice Bag,4,70.01,0.15,Credit Card,Same Day,Delivered,5,238.03,47.61,Organic Search
ORD0000000067,2023-01-01 18:59:00,CUST102479,Noah Ali,Corporate,Tunisia,Tunis,PROD02077,Books,Business Analytics,8,70.98,0.05,Credit Card,Express,Returned,4,539.45,86.31,Marketplace
ORD0000000068,2023-01-01 19:16:00,CUST102516,Maya Hassan,Consumer,Morocco,Casablanca,PROD02108,Fashion,Cotton Shirt,3,71.95,0.20,Credit Card,Standard,Processing,3,172.68,20.72,Referral
ORD0000000069,2023-01-01 19:33:00,CUST102553,Adam Abdi,Small Business,Ghana,Accra,PROD02139,Health,Water Bottle,7,72.92,0.10,Credit Card,Pickup Point,Shipped,2,459.40,36.75,Email
ORD0000000070,2023-01-01 19:50:00,CUST102590,Sara Bennani,Home Office,Egypt,Cairo,PROD02170,Furniture,Bookcase,2,73.89,0.00,Credit Card,Same Day,Delivered,1,147.78,39.90,Social Media
ORD0000000071,2023-01-01 20:07:00,CUST102627,Youssef Kone,Corporate,Tunisia,Tunis,PROD02201,Office Supplies,Desk Organizer,6,74.86,0.15,Credit Card,Express,Delivered,5,381.79,87.81,Paid Search
ORD0000000072,2023-01-01 20:24:00,CUST102664,Nora Khalil,Consumer,Morocco,Casablanca,PROD02232,Electronics,Bluetooth Speaker,1,75.83,0.05,Credit Card,Standard,Delivered,4,72.04,13.69,Organic Search
ORD0000000073,2023-01-01 20:41:00,CUST102701,Karim Diallo,Small Business,Ghana,Accra,PROD02263,Sports,Training Gloves,5,76.80,0.20,Credit Card,Pickup Point,Returned,3,307.20,46.08,Marketplace
ORD0000000074,2023-01-01 20:58:00,CUST102738,Hana Adeyemi,Home Office,Egypt,Cairo,PROD02294,Groceries,Rice Bag,9,77.77,0.10,Credit Card,Same Day,Processing,2,629.94,69.29,Referral
ORD0000000075,2023-01-01 21:15:00,CUST102775,Elias Mansour,Corporate,Tunisia,Tunis,PROD02325,Books,Business Analytics,4,78.74,0.00,Credit Card,Express,Shipped,1,314.96,94.49,Email
ORD0000000076,2023-01-01 21:32:00,CUST102812,Leila Mensah,Consumer,Morocco,Casablanca,PROD02356,Fashion,Cotton Shirt,8,79.71,0.15,Credit Card,Standard,Delivered,5,542.03,140.93,Social Media
ORD0000000077,2023-01-01 21:49:00,CUST102849,Ilyas Ndiaye,Small Business,Ghana,Accra,PROD02387,Health,Water Bottle,3,80.68,0.05,Credit Card,Pickup Point,Delivered,4,229.94,50.59,Paid Search
ORD0000000078,2023-01-01 22:06:00,CUST102886,Mariam Toure,Home Office,Egypt,Cairo,PROD02418,Furniture,Bookcase,7,81.65,0.20,Credit Card,Same Day,Delivered,3,457.24,82.30,Organic Search
ORD0000000079,2023-01-01 22:23:00,CUST102923,Rayan Okafor,Corporate,Tunisia,Tunis,PROD02449,Office Supplies,Desk Organizer,2,82.62,0.10,Credit Card,Express,Returned,2,148.72,20.82,Marketplace
ORD0000000080,2023-01-01 22:40:00,CUST102960,Amina Traore,Consumer,Morocco,Casablanca,PROD02480,Electronics,Bluetooth Speaker,6,83.59,0.00,Credit Card,Standard,Processing,1,501.54,50.15,Referral
ORD0000000081,2023-01-01 22:57:00,CUST102997,Omar Ali,Small Business,Ghana,Accra,PROD02511,Sports,Training Gloves,1,84.56,0.15,Credit Card,Pickup Point,Shipped,5,71.88,20.85,Email
ORD0000000082,2023-01-01 23:14:00,CUST103034,Lina Hassan,Home Office,Egypt,Cairo,PROD02542,Groceries,Rice Bag,5,85.53,0.05,Credit Card,Same Day,Delivered,4,406.27,101.57,Social Media
ORD0000000083,2023-01-01 23:31:00,CUST103071,Noah Abdi,Corporate,Tunisia,Tunis,PROD02573,Books,Business Analytics,9,86.50,0.20,Credit Card,Express,Delivered,3,622.80,130.79,Paid Search
ORD0000000084,2023-01-01 23:48:00,CUST103108,Maya Bennani,Consumer,Morocco,Casablanca,PROD02604,Fashion,Cotton Shirt,4,87.47,0.10,Credit Card,Standard,Delivered,2,314.89,53.53,Organic Search
ORD0000000085,2023-01-02 00:05:00,CUST103145,Adam Kone,Small Business,Ghana,Accra,PROD02635,Health,Water Bottle,8,88.44,0.00,Credit Card,Pickup Point,Returned,1,707.52,91.98,Marketplace
ORD0000000086,2023-01-02 00:22:00,CUST103182,Sara Khalil,Home Office,Egypt,Cairo,PROD02666,Furniture,Bookcase,3,89.41,0.15,Credit Card,Same Day,Processing,5,228.00,20.52,Referral
ORD0000000087,2023-01-02 00:39:00,CUST103219,Youssef Diallo,Corporate,Tunisia,Tunis,PROD02697,Office Supplies,Desk Organizer,7,90.38,0.05,Credit Card,Express,Shipped,4,601.03,168.29,Email
ORD0000000088,2023-01-02 00:56:00,CUST103256,Nora Adeyemi,Consumer,Morocco,Casablanca,PROD02728,Electronics,Bluetooth Speaker,2,91.35,0.20,Credit Card,Standard,Delivered,3,146.16,35.08,Social Media
ORD0000000089,2023-01-02 01:13:00,CUST103293,Karim Mansour,Small Business,Ghana,Accra,PROD02759,Sports,Training Gloves,6,92.32,0.10,Credit Card,Pickup Point,Delivered,2,498.53,99.71,Paid Search
ORD0000000090,2023-01-02 01:30:00,CUST103330,Hana Mensah,Home Office,Egypt,Cairo,PROD02790,Groceries,Rice Bag,1,93.29,0.00,Credit Card,Same Day,Delivered,1,93.29,14.93,Organic Search
ORD0000000091,2023-01-02 01:47:00,CUST103367,Elias Ndiaye,Corporate,Tunisia,Tunis,PROD02821,Books,Business Analytics,5,94.26,0.15,Credit Card,Express,Returned,5,400.61,48.07,Marketplace
ORD0000000092,2023-01-02 02:04:00,CUST103404,Leila Toure,Consumer,Morocco,Casablanca,PROD02852,Fashion,Cotton Shirt,9,95.23,0.05,Credit Card,Standard,Processing,4,814.22,65.14,Referral
ORD0000000093,2023-01-02 02:21:00,CUST103441,Ilyas Okafor,Small Business,Ghana,Accra,PROD02883,Health,Water Bottle,4,96.20,0.20,Credit Card,Pickup Point,Shipped,3,307.84,83.12,Email
ORD0000000094,2023-01-02 02:38:00,CUST103478,Mariam Traore,Home Office,Egypt,Cairo,PROD02914,Furniture,Bookcase,8,97.17,0.10,Credit Card,Same Day,Delivered,2,699.62,160.91,Social Media
ORD0000000095,2023-01-02 02:55:00,CUST103515,Rayan Ali,Corporate,Tunisia,Tunis,PROD02945,Office Supplies,Desk Organizer,3,98.14,0.00,Credit Card,Express,Delivered,1,294.42,55.94,Paid Search
ORD0000000096,2023-01-02 03:12:00,CUST103552,Amina Hassan,Consumer,Morocco,Casablanca,PROD02976,Electronics,Bluetooth Speaker,7,99.11,0.15,Credit Card,Standard,Delivered,5,589.70,88.46,Organic Search
ORD0000000097,2023-01-02 03:29:00,CUST103589,Omar Abdi,Small Business,Ghana,Accra,PROD03007,Sports,Training Gloves,2,100.08,0.05,Credit Card,Pickup Point,Returned,4,190.15,20.92,Marketplace
ORD0000000098,2023-01-02 03:46:00,CUST103626,Lina Bennani,Home Office,Egypt,Cairo,PROD03038,Groceries,Rice Bag,6,101.05,0.20,Credit Card,Same Day,Processing,3,485.04,145.51,Referral
ORD0000000099,2023-01-02 04:03:00,CUST103663,Noah Kone,Corporate,Tunisia,Tunis,PROD03069,Books,Business Analytics,1,102.02,0.10,Credit Card,Express,Shipped,2,91.82,23.87,Email
ORD0000000100,2023-01-02 04:20:00,CUST103700,Maya Khalil,Consumer,Morocco,Casablanca,PROD03100,Fashion,Cotton Shirt,5,102.99,0.00,Credit Card,Standard,Delivered,1,514.95,113.29,Social Media
ORD0000000101,2023-01-02 04:37:00,CUST103737,Adam Diallo,Small Business,Ghana,Accra,PROD03131,Health,Water Bottle,9,103.96,0.15,Credit Card,Pickup Point,Delivered,5,795.29,143.15,Paid Search
ORD0000000102,2023-01-02 04:54:00,CUST103774,Sara Adeyemi,Home Office,Egypt,Cairo,PROD03162,Furniture,Bookcase,4,104.93,0.05,Credit Card,Same Day,Delivered,4,398.73,55.82,Organic Search
ORD0000000103,2023-01-02 05:11:00,CUST103811,Youssef Mansour,Corporate,Tunisia,Tunis,PROD03193,Office Supplies,Desk Organizer,8,105.90,0.20,Credit Card,Express,Returned,3,677.76,67.78,Marketplace
ORD0000000104,2023-01-02 05:28:00,CUST103848,Nora Mensah,Consumer,Morocco,Casablanca,PROD03224,Electronics,Bluetooth Speaker,3,106.87,0.10,Credit Card,Standard,Processing,2,288.55,83.68,Referral
ORD0000000105,2023-01-02 05:45:00,CUST103885,Karim Ndiaye,Small Business,Ghana,Accra,PROD03255,Sports,Training Gloves,7,107.84,0.00,Credit Card,Pickup Point,Shipped,1,754.88,188.72,Email
ORD0000000106,2023-01-02 06:02:00,CUST103922,Hana Toure,Home Office,Egypt,Cairo,PROD03286,Groceries,Rice Bag,2,108.81,0.15,Credit Card,Same Day,Delivered,5,184.98,38.85,Social Media
ORD0000000107,2023-01-02 06:19:00,CUST103959,Elias Okafor,Corporate,Tunisia,Tunis,PROD03317,Books,Business Analytics,6,109.78,0.05,Credit Card,Express,Delivered,4,625.75,106.38,Paid Search
ORD0000000108,2023-01-02 06:36:00,CUST103996,Leila Traore,Consumer,Morocco,Casablanca,PROD03348,Fashion,Cotton Shirt,1,110.75,0.20,Credit Card,Standard,Delivered,3,88.60,11.52,Organic Search
ORD0000000109,2023-01-02 06:53:00,CUST104033,Ilyas Ali,Small Business,Ghana,Accra,PROD03379,Health,Water Bottle,5,111.72,0.10,Credit Card,Pickup Point,Returned,2,502.74,45.25,Marketplace
ORD0000000110,2023-01-02 07:10:00,CUST104070,Mariam Hassan,Home Office,Egypt,Cairo,PROD03410,Furniture,Bookcase,9,112.69,0.00,Credit Card,Same Day,Processing,1,1014.21,283.98,Referral
ORD0000000111,2023-01-02 07:27:00,CUST104107,Rayan Abdi,Corporate,Tunisia,Tunis,PROD03441,Office Supplies,Desk Organizer,4,113.66,0.15,Credit Card,Express,Shipped,5,386.44,92.75,Email
ORD0000000112,2023-01-02 07:44:00,CUST104144,Amina Bennani,Consumer,Morocco,Casablanca,PROD03472,Electronics,Bluetooth Speaker,8,114.63,0.05,Credit Card,Standard,Delivered,4,871.19,174.24,Social Media
ORD0000000113,2023-01-02 08:01:00,CUST104181,Omar Kone,Small Business,Ghana,Accra,PROD03503,Sports,Training Gloves,3,115.60,0.20,Credit Card,Pickup Point,Delivered,3,277.44,44.39,Paid Search
ORD0000000114,2023-01-02 08:18:00,CUST104218,Lina Khalil,Home Office,Egypt,Cairo,PROD03534,Groceries,Rice Bag,7,116.57,0.10,Credit Card,Same Day,Delivered,2,734.39,88.13,Organic Search
ORD0000000115,2023-01-02 08:35:00,CUST104255,Noah Diallo,Corporate,Tunisia,Tunis,PROD03565,Books,Business Analytics,2,117.54,0.00,Credit Card,Express,Returned,1,235.08,18.81,Marketplace
ORD0000000116,2023-01-02 08:52:00,CUST104292,Maya Adeyemi,Consumer,Morocco,Casablanca,PROD03596,Fashion,Cotton Shirt,6,118.51,0.15,Credit Card,Standard,Processing,5,604.40,163.19,Referral
ORD0000000117,2023-01-02 09:09:00,CUST104329,Adam Mansour,Small Business,Ghana,Accra,PROD03627,Health,Water Bottle,1,119.48,0.05,Credit Card,Pickup Point,Shipped,4,113.51,26.11,Email
ORD0000000118,2023-01-02 09:26:00,CUST104366,Sara Mensah,Home Office,Egypt,Cairo,PROD03658,Furniture,Bookcase,5,120.45,0.20,Credit Card,Same Day,Delivered,3,481.80,91.54,Social Media
ORD0000000119,2023-01-02 09:43:00,CUST104403,Youssef Ndiaye,Corporate,Tunisia,Tunis,PROD03689,Office Supplies,Desk Organizer,9,121.42,0.10,Credit Card,Express,Delivered,2,983.50,147.53,Paid Search
ORD0000000120,2023-01-02 10:00:00,CUST104440,Nora Toure,Consumer,Morocco,Casablanca,PROD03720,Electronics,Bluetooth Speaker,4,122.39,0.00,Credit Card,Standard,Delivered,1,489.56,53.85,Organic Search
ORD0000000121,2023-01-02 10:17:00,CUST104477,Karim Okafor,Small Business,Ghana,Accra,PROD03751,Sports,Training Gloves,8,123.36,0.15,Credit Card,Pickup Point,Returned,5,838.85,251.66,Marketplace
ORD0000000122,2023-01-02 10:34:00,CUST104514,Hana Traore,Home Office,Egypt,Cairo,PROD03782,Groceries,Rice Bag,3,124.33,0.05,Credit Card,Same Day,Processing,4,354.34,92.13,Referral
ORD0000000123,2023-01-02 10:51:00,CUST104551,Elias Ali,Corporate,Tunisia,Tunis,PROD03813,Books,Business Analytics,7,125.30,0.20,Credit Card,Express,Shipped,3,701.68,154.37,Email
ORD0000000124,2023-01-02 11:08:00,CUST104588,Leila Hassan,Consumer,Morocco,Casablanca,PROD03844,Fashion,Cotton Shirt,2,126.27,0.10,Credit Card,Standard,Delivered,2,227.29,40.91,Social Media
ORD0000000125,2023-01-02 11:25:00,CUST104625,Ilyas Abdi,Small Business,Ghana,Accra,PROD03875,Health,Water Bottle,6,127.24,0.00,Credit Card,Pickup Point,Delivered,1,763.44,106.88,Paid Search
ORD0000000126,2023-01-02 11:42:00,CUST104662,Mariam Bennani,Home Office,Egypt,Cairo,PROD03906,Furniture,Bookcase,1,128.21,0.15,Credit Card,Same Day,Delivered,5,108.98,10.90,Organic Search
